dziedzina	postępowania	z obecnością członka CK	 C/B [%]	K50
dz. nauk biologicznych	147	7	5	17
dz. nauk chemicznych	146	5	3	11
dz. nauk ekonomicznych	128	5	4	12
dz. nauk farmaceutycznych	60	20	33	4
dz. nauk fizycznych	112	10	9	14
dz. nauk humanistycznych	344	10	3	36
dz. nauk leśnych	24	2	8	3
dz. nauk matematycznych	53	3	6	7
dz. nauk medycznych	706	113	16	45
dz. nauk o sztuce	1	0	0	1
dz. nauk o Ziemi	72	5	7	9
dz. nauk o kulturze fizycznej	33	6	18	4
dz. nauk o zdrowiu	37	12	32	5
dz. nauk prawnych	91	20	22	10
dz. nauk rolniczych	166	10	6	21
dz. nauk społecznych	157	8	5	14
dz. nauk technicznych	534	58	11	34
dz. nauk teologicznych	25	1	4	4
dz. nauk weterynaryjnych	48	11	23	4
dz. sztuk filmowych	23	1	4	1
dz. sztuk muzycznych	99	0	0	8
dz. sztuk plastycznych	125	0	0	10
dz. sztuk teatralnych	7	0	0	2
